434211,461110,465311,811219,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
332710,461110,611122,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461110,722516,812110,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311830,332320,463211,461121,461150,461130,466212,461110,466111,465311,467115,467111,463310,561432,722514,812110,811499,NaN ,NaN ,NaN ,NaN
312112,434312,461110,465311,461190,461130,561432,611112,722511,811491,811111,811430,812210,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
323119,464111,465311,467111,466212,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
314912,332320,434211,461110,484129,811192,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461110,531113,812110,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461121,461110,465311,461122,461130,463310,611112,811191,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311830,312112,461110,461121,462112,464111,463211,461170,467111,463310,464121,561432,621211,621111,621511,722517,722514,812130,812110,931210,NaN
461110,463113,461121,461150,464111,461140,461130,467115,467111,465311,461122,541941,621211,713120,722518,811211,812110,811121,811499,NaN ,NaN
311214,332320,463211,466312,461110,468211,467111,561432,813210,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461121,465912,461130,611122,611112,812110,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311830,461110,467111,812110,811111,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461212,461160,464111,465914,461110,461122,465212,467111,461211,561432,611621,722518,722514,811191,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311830,461121,461110,465311,621211,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311812,465311,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311520,461110,467111,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311520,311830,332320,461140,461110,467111,722519,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311520,467111,461110,465311,713944,811121,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311520,311812,332320,461110,461213,464112,464111,468211,465111,465311,541941,621211,621111,624191,722518,812110,811111,811122,NaN ,NaN ,NaN
311520,311830,327111,465914,461110,462112,465311,541920,621211,812110,811211,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
461110,465311,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
311520,311812,315225,311830,463211,464111,467111,465914,461110,465311,461122,611132,611112,621211,713991,711312,713120,722519,812110,931610,NaN
461110,463211,461121,464111,465311,461122,467111,611122,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN
